,model,n_features,outliers,n_splits,mae,mse,r2_score
0,Pipeline,5,no,5,58.707661150961314,15327526.483658934,-15327526.483658934
1,Pipeline,5,yes,5,58.707661150961314,15327526.483658934,-15327526.483658934
2,Pipeline,11,yes,2,628.5107806568953,2998622.223938633,-2998622.223938633
3,Pipeline,11,no,2,628.5107806568953,2998622.223938633,-2998622.223938633
4,Pipeline,10,no,4,13.96365174980194,695652.2748411377,-695652.2748411377
5,Pipeline,10,yes,4,13.96365174980194,695652.2748411377,-695652.2748411377
6,Pipeline,9,no,4,9.714009883583271,595813.842321759,-595813.842321759
7,Pipeline,9,yes,4,9.714009883583271,595813.842321759,-595813.842321759
8,Pipeline,4,no,5,12.018171186782894,455603.3255670117,-455603.3255670117
9,Pipeline,4,yes,5,12.018171186782894,455603.3255670117,-455603.3255670117
10,Pipeline,11,no,4,17.159186915958287,262398.53298452107,-262398.53298452107
11,Pipeline,11,yes,4,17.159186915958287,262398.53298452107,-262398.53298452107
12,Pipeline,3,yes,5,7.896263078430811,227763.0904789719,-227763.0904789719
13,Pipeline,3,no,5,7.896263078430811,227763.0904789719,-227763.0904789719
14,Pipeline,11,yes,5,54.261118935870044,135768.02613100575,-135768.02613100575
15,Pipeline,11,no,5,54.261118935870044,135768.02613100575,-135768.02613100575
16,Pipeline,6,no,4,4.856684658859957,73735.38239335916,-73735.38239335916
17,Pipeline,6,yes,4,4.856684658859957,73735.38239335916,-73735.38239335916
18,Pipeline,5,yes,4,4.117219488682407,51184.56933244336,-51184.56933244336
19,Pipeline,5,no,4,4.117219488682407,51184.56933244336,-51184.56933244336
20,Pipeline,6,yes,5,4.224087172944733,37900.741259179216,-37900.741259179216
21,Pipeline,6,no,5,4.224087172944733,37900.741259179216,-37900.741259179216
22,Pipeline,4,no,4,2.841989367805713,34379.16505981304,-34379.16505981304
23,Pipeline,4,yes,4,2.841989367805713,34379.16505981304,-34379.16505981304
24,Pipeline,12,no,4,24.438951264155474,19447.970841288152,-19447.970841288152
25,Pipeline,12,yes,4,24.438951264155474,19447.970841288152,-19447.970841288152
26,Pipeline,8,no,4,3.8571870367997527,11833.622678080534,-11833.622678080534
27,Pipeline,8,yes,4,3.8571870367997527,11833.622678080534,-11833.622678080534
28,Pipeline,9,yes,2,20.776967278094453,4500.945064674607,-4500.945064674607
29,Pipeline,9,no,2,20.776967278094453,4500.945064674607,-4500.945064674607
30,Pipeline,11,no,3,22.88921057481937,3629.6174579179806,-3629.6174579179806
31,Pipeline,11,yes,3,22.88921057481937,3629.6174579179806,-3629.6174579179806
32,Pipeline,14,yes,4,8.504146129908706,3286.9720123778866,-3286.9720123778866
33,Pipeline,14,no,4,8.504146129908706,3286.9720123778866,-3286.9720123778866
34,Pipeline,12,yes,5,18.647103987545428,3215.2941066194776,-3215.2941066194776
35,Pipeline,12,no,5,18.647103987545428,3215.2941066194776,-3215.2941066194776
36,Pipeline,13,yes,4,10.073974913417405,2459.5984035987995,-2459.5984035987995
37,Pipeline,13,no,4,10.073974913417405,2459.5984035987995,-2459.5984035987995
38,Pipeline,7,no,4,1.83781335017594,2367.3788155373654,-2367.3788155373654
39,Pipeline,7,yes,4,1.83781335017594,2367.3788155373654,-2367.3788155373654
40,Pipeline,12,yes,3,21.673888878869942,2270.666285132256,-2270.666285132256
41,Pipeline,12,no,3,21.673888878869942,2270.666285132256,-2270.666285132256
42,Pipeline,6,yes,3,9.789616401546114,1741.8360165813426,-1741.8360165813426
43,Pipeline,6,no,3,9.789616401546114,1741.8360165813426,-1741.8360165813426
44,Pipeline,15,yes,4,3.017215730708512,1650.2210950150707,-1650.2210950150707
45,Pipeline,15,no,4,3.017215730708512,1650.2210950150707,-1650.2210950150707
46,Pipeline,9,yes,5,6.712162786120317,1409.9384331544697,-1409.9384331544697
47,Pipeline,9,no,5,6.712162786120317,1409.9384331544697,-1409.9384331544697
48,Pipeline,12,yes,2,18.495815414137766,1212.2663242156425,-1212.2663242156425
49,Pipeline,12,no,2,18.495815414137766,1212.2663242156425,-1212.2663242156425
50,Pipeline,8,yes,3,5.348425988070194,916.3739984026957,-916.3739984026957
51,Pipeline,8,no,3,5.348425988070194,916.3739984026957,-916.3739984026957
52,Pipeline,10,no,2,7.670954911908056,728.8319312529939,-728.8319312529939
53,Pipeline,10,yes,2,7.670954911908056,728.8319312529939,-728.8319312529939
54,Pipeline,9,yes,3,7.909334016377488,676.653820742404,-676.653820742404
55,Pipeline,9,no,3,7.909334016377488,676.653820742404,-676.653820742404
56,Pipeline,7,yes,3,4.982237634754636,668.8343130419067,-668.8343130419067
57,Pipeline,7,no,3,4.982237634754636,668.8343130419067,-668.8343130419067
58,Pipeline,13,no,5,10.18197585346288,520.8772900971003,-520.8772900971003
59,Pipeline,13,yes,5,10.18197585346288,520.8772900971003,-520.8772900971003
60,Pipeline,7,yes,5,2.7809890331602176,498.69932018865364,-498.69932018865364
61,Pipeline,7,no,5,2.7809890331602176,498.69932018865364,-498.69932018865364
62,Pipeline,14,yes,5,9.036373098700082,451.1134514171682,-451.1134514171682
63,Pipeline,14,no,5,9.036373098700082,451.1134514171682,-451.1134514171682
64,Pipeline,10,yes,5,6.8680965468330175,387.7478270986975,-387.7478270986975
65,Pipeline,10,no,5,6.8680965468330175,387.7478270986975,-387.7478270986975
66,LinearRegression,10,no,5,0.8948297494835629,296.47583255743695,-296.47583255743695
67,LinearRegression,10,yes,5,0.8948297494835629,296.47583255743695,-296.47583255743695
68,Pipeline,4,no,3,3.317669035372239,295.6238853008518,-295.6238853008518
69,Pipeline,4,yes,3,3.317669035372239,295.6238853008518,-295.6238853008518
